ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543;;;;
Date: 15.06.2022;;;;
Start time: 13:15:12;;;;
Stop time: 13:15:46;;;;
Overruns: 0  Errorframes: 0                                          ;;;;
Baudrate: 250 kbit/s;;;;
Time;Identifier (hex);Format;Flags;Data (hex)
00:15:27.533;3AE;Std;;00 00 00 00 00 00 00 00
00:15:27.543;485;Std;;FA 01 FA 01 CD 02 00 00
00:15:27.546;80;Std;;
00:15:27.548;18B;Std;;01 00 00 00
00:15:27.549;28B;Std;;21 00 F6 FF 15 00 5F 00
00:15:27.549;29B;Std;;BD FF C0 FF BD FF C0 FF
00:15:27.550;1FB;Std;;00 00 05 05 05 05 05 05
00:15:27.551;18F;Std;;00 20 05 00
00:15:27.551;4AD;Std;;20 00 00 00 00 00 00 00
00:15:27.552;48F;Std;;01 00 00 00 00 00
00:15:27.556;202;Std;;00 00 00 00 D4 30 D4 30
00:15:27.556;302;Std;;00 00 CF 18 F4 01 00 00
00:15:27.557;402;Std;;00 00 00 00 00 00 00 00
00:15:27.557;209;Std;;00 00 00 00 D4 30 D4 30
00:15:27.558;309;Std;;00 00 CF 18 2C 01 00 00
00:15:27.558;409;Std;;00 00 00 00 00 00 00 00
00:15:27.559;204;Std;;00 00 00 00 00 00 00 00
00:15:27.559;304;Std;;00 00 00 00 00 00 00 00
00:15:27.560;20F;Std;;00 04 04 04 01 00
00:15:27.560;20B;Std;;81 00 00 00
00:15:27.561;22E;Std;;00 00 FF FF 00 07 07 00
00:15:27.561;214;Std;;02 00 00 00 00 00 00 00
00:15:27.562;314;Std;;00 00 00 00 00 00 00 00
00:15:27.572;1AE;Std;;00 00 00 00 00
00:15:27.572;4AE;Std;;00 00 00 00 00 00 00 00
00:15:27.573;1AF;Std;;00 00 00 00 00 00 00 00
00:15:27.573;182;Std;;00 00 00 00 00 00 00 00
00:15:27.574;184;Std;;00 00 00 00 00 07 0F 01
00:15:27.574;2AF;Std;;00 00 00 00 00 00 00 00
00:15:27.575;188;Std;;00 02 00 00 00 02 01 58
00:15:27.575;3AF;Std;;00 00 00 00 00 00 00 00
00:15:27.576;282;Std;;00 00 00 00 DC 00 D8 00
00:15:27.578;382;Std;;01 00 01 00 4F 50 00 00
00:15:27.580;482;Std;;00 00 FB FF 00 00 18 01
00:15:27.581;70B;Std;;5
00:15:27.582;183;Std;;E5 00 B9 00 FE 00 03 00
00:15:27.583;284;Std;;31 02 E0 27 4A 20 11 00
00:15:27.584;283;Std;;01 00 05 00 00 00 00 00
00:15:27.587;383;Std;;00 00 00 00 00 00 00 00
00:15:27.589;483;Std;;00 00 00 00 00 40 00 00
